,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
30238,8962306,35009,BANKNIFTY21OCT30600CE,BANKNIFTY,0,28-10-2021,30600,0.05,25,CE,NFO-OPT,NFO
30239,8962562,35010,BANKNIFTY21OCT30600PE,BANKNIFTY,0,28-10-2021,30600,0.05,25,PE,NFO-OPT,NFO
30240,13299458,51951,BANKNIFTY21OCT30700CE,BANKNIFTY,0,28-10-2021,30700,0.05,25,CE,NFO-OPT,NFO
30241,13299714,51952,BANKNIFTY21OCT30700PE,BANKNIFTY,0,28-10-2021,30700,0.05,25,PE,NFO-OPT,NFO
30242,13299970,51953,BANKNIFTY21OCT30800CE,BANKNIFTY,0,28-10-2021,30800,0.05,25,CE,NFO-OPT,NFO
30243,13300226,51954,BANKNIFTY21OCT30800PE,BANKNIFTY,0,28-10-2021,30800,0.05,25,PE,NFO-OPT,NFO
30244,13300482,51955,BANKNIFTY21OCT30900CE,BANKNIFTY,0,28-10-2021,30900,0.05,25,CE,NFO-OPT,NFO
30245,13300738,51956,BANKNIFTY21OCT30900PE,BANKNIFTY,0,28-10-2021,30900,0.05,25,PE,NFO-OPT,NFO
30246,13300994,51957,BANKNIFTY21OCT31000CE,BANKNIFTY,0,28-10-2021,31000,0.05,25,CE,NFO-OPT,NFO
30247,13301250,51958,BANKNIFTY21OCT31000PE,BANKNIFTY,0,28-10-2021,31000,0.05,25,PE,NFO-OPT,NFO
30248,13301506,51959,BANKNIFTY21OCT31100CE,BANKNIFTY,0,28-10-2021,31100,0.05,25,CE,NFO-OPT,NFO
30249,13301762,51960,BANKNIFTY21OCT31100PE,BANKNIFTY,0,28-10-2021,31100,0.05,25,PE,NFO-OPT,NFO
30250,13302018,51961,BANKNIFTY21OCT31200CE,BANKNIFTY,0,28-10-2021,31200,0.05,25,CE,NFO-OPT,NFO
30251,13302274,51962,BANKNIFTY21OCT31200PE,BANKNIFTY,0,28-10-2021,31200,0.05,25,PE,NFO-OPT,NFO
30252,13302530,51963,BANKNIFTY21OCT31300CE,BANKNIFTY,0,28-10-2021,31300,0.05,25,CE,NFO-OPT,NFO
30253,13302786,51964,BANKNIFTY21OCT31300PE,BANKNIFTY,0,28-10-2021,31300,0.05,25,PE,NFO-OPT,NFO
30254,13303298,51966,BANKNIFTY21OCT31400CE,BANKNIFTY,0,28-10-2021,31400,0.05,25,CE,NFO-OPT,NFO
30255,13303554,51967,BANKNIFTY21OCT31400PE,BANKNIFTY,0,28-10-2021,31400,0.05,25,PE,NFO-OPT,NFO
30256,13303810,51968,BANKNIFTY21OCT31500CE,BANKNIFTY,0,28-10-2021,31500,0.05,25,CE,NFO-OPT,NFO
30257,13304066,51969,BANKNIFTY21OCT31500PE,BANKNIFTY,0,28-10-2021,31500,0.05,25,PE,NFO-OPT,NFO
30258,13304322,51970,BANKNIFTY21OCT31600CE,BANKNIFTY,0,28-10-2021,31600,0.05,25,CE,NFO-OPT,NFO
30259,13304578,51971,BANKNIFTY21OCT31600PE,BANKNIFTY,0,28-10-2021,31600,0.05,25,PE,NFO-OPT,NFO
30260,13304834,51972,BANKNIFTY21OCT31700CE,BANKNIFTY,0,28-10-2021,31700,0.05,25,CE,NFO-OPT,NFO
30261,13305090,51973,BANKNIFTY21OCT31700PE,BANKNIFTY,0,28-10-2021,31700,0.05,25,PE,NFO-OPT,NFO
30262,13305346,51974,BANKNIFTY21OCT31800CE,BANKNIFTY,0,28-10-2021,31800,0.05,25,CE,NFO-OPT,NFO
30263,13305602,51975,BANKNIFTY21OCT31800PE,BANKNIFTY,0,28-10-2021,31800,0.05,25,PE,NFO-OPT,NFO
30264,13305858,51976,BANKNIFTY21OCT31900CE,BANKNIFTY,0,28-10-2021,31900,0.05,25,CE,NFO-OPT,NFO
30265,13306114,51977,BANKNIFTY21OCT31900PE,BANKNIFTY,0,28-10-2021,31900,0.05,25,PE,NFO-OPT,NFO
30266,13306370,51978,BANKNIFTY21OCT32000CE,BANKNIFTY,0,28-10-2021,32000,0.05,25,CE,NFO-OPT,NFO
30267,13312770,52003,BANKNIFTY21OCT32000PE,BANKNIFTY,0,28-10-2021,32000,0.05,25,PE,NFO-OPT,NFO
30268,13313026,52004,BANKNIFTY21OCT32100CE,BANKNIFTY,0,28-10-2021,32100,0.05,25,CE,NFO-OPT,NFO
30269,13313282,52005,BANKNIFTY21OCT32100PE,BANKNIFTY,0,28-10-2021,32100,0.05,25,PE,NFO-OPT,NFO
30270,13313538,52006,BANKNIFTY21OCT32200CE,BANKNIFTY,0,28-10-2021,32200,0.05,25,CE,NFO-OPT,NFO
30271,13313794,52007,BANKNIFTY21OCT32200PE,BANKNIFTY,0,28-10-2021,32200,0.05,25,PE,NFO-OPT,NFO
30272,13314050,52008,BANKNIFTY21OCT32300CE,BANKNIFTY,0,28-10-2021,32300,0.05,25,CE,NFO-OPT,NFO
30273,13314306,52009,BANKNIFTY21OCT32300PE,BANKNIFTY,0,28-10-2021,32300,0.05,25,PE,NFO-OPT,NFO
30274,13314562,52010,BANKNIFTY21OCT32400CE,BANKNIFTY,0,28-10-2021,32400,0.05,25,CE,NFO-OPT,NFO
30275,13314818,52011,BANKNIFTY21OCT32400PE,BANKNIFTY,0,28-10-2021,32400,0.05,25,PE,NFO-OPT,NFO
30276,13315074,52012,BANKNIFTY21OCT32500CE,BANKNIFTY,0,28-10-2021,32500,0.05,25,CE,NFO-OPT,NFO
30277,13315330,52013,BANKNIFTY21OCT32500PE,BANKNIFTY,0,28-10-2021,32500,0.05,25,PE,NFO-OPT,NFO
30278,13315586,52014,BANKNIFTY21OCT32600CE,BANKNIFTY,0,28-10-2021,32600,0.05,25,CE,NFO-OPT,NFO
30279,13315842,52015,BANKNIFTY21OCT32600PE,BANKNIFTY,0,28-10-2021,32600,0.05,25,PE,NFO-OPT,NFO
30280,13317122,52020,BANKNIFTY21OCT32700CE,BANKNIFTY,0,28-10-2021,32700,0.05,25,CE,NFO-OPT,NFO
30281,13317378,52021,BANKNIFTY21OCT32700PE,BANKNIFTY,0,28-10-2021,32700,0.05,25,PE,NFO-OPT,NFO
30282,13318658,52026,BANKNIFTY21OCT32800CE,BANKNIFTY,0,28-10-2021,32800,0.05,25,CE,NFO-OPT,NFO
30283,13320450,52033,BANKNIFTY21OCT32800PE,BANKNIFTY,0,28-10-2021,32800,0.05,25,PE,NFO-OPT,NFO
30284,13320706,52034,BANKNIFTY21OCT32900CE,BANKNIFTY,0,28-10-2021,32900,0.05,25,CE,NFO-OPT,NFO
30285,13320962,52035,BANKNIFTY21OCT32900PE,BANKNIFTY,0,28-10-2021,32900,0.05,25,PE,NFO-OPT,NFO
30286,13321218,52036,BANKNIFTY21OCT33000CE,BANKNIFTY,0,28-10-2021,33000,0.05,25,CE,NFO-OPT,NFO
30287,13321474,52037,BANKNIFTY21OCT33000PE,BANKNIFTY,0,28-10-2021,33000,0.05,25,PE,NFO-OPT,NFO
30288,13321730,52038,BANKNIFTY21OCT33100CE,BANKNIFTY,0,28-10-2021,33100,0.05,25,CE,NFO-OPT,NFO
30289,13322498,52041,BANKNIFTY21OCT33100PE,BANKNIFTY,0,28-10-2021,33100,0.05,25,PE,NFO-OPT,NFO
30290,13322754,52042,BANKNIFTY21OCT33200CE,BANKNIFTY,0,28-10-2021,33200,0.05,25,CE,NFO-OPT,NFO
30291,13323010,52043,BANKNIFTY21OCT33200PE,BANKNIFTY,0,28-10-2021,33200,0.05,25,PE,NFO-OPT,NFO
30292,13323266,52044,BANKNIFTY21OCT33300CE,BANKNIFTY,0,28-10-2021,33300,0.05,25,CE,NFO-OPT,NFO
30293,13324546,52049,BANKNIFTY21OCT33300PE,BANKNIFTY,0,28-10-2021,33300,0.05,25,PE,NFO-OPT,NFO
30294,13324802,52050,BANKNIFTY21OCT33400CE,BANKNIFTY,0,28-10-2021,33400,0.05,25,CE,NFO-OPT,NFO
30295,13326082,52055,BANKNIFTY21OCT33400PE,BANKNIFTY,0,28-10-2021,33400,0.05,25,PE,NFO-OPT,NFO
30296,13326338,52056,BANKNIFTY21OCT33500CE,BANKNIFTY,0,28-10-2021,33500,0.05,25,CE,NFO-OPT,NFO
30297,13326594,52057,BANKNIFTY21OCT33500PE,BANKNIFTY,0,28-10-2021,33500,0.05,25,PE,NFO-OPT,NFO
30298,13326850,52058,BANKNIFTY21OCT33600CE,BANKNIFTY,0,28-10-2021,33600,0.05,25,CE,NFO-OPT,NFO
30299,13327106,52059,BANKNIFTY21OCT33600PE,BANKNIFTY,0,28-10-2021,33600,0.05,25,PE,NFO-OPT,NFO
30300,13327362,52060,BANKNIFTY21OCT33700CE,BANKNIFTY,0,28-10-2021,33700,0.05,25,CE,NFO-OPT,NFO
30301,13327618,52061,BANKNIFTY21OCT33700PE,BANKNIFTY,0,28-10-2021,33700,0.05,25,PE,NFO-OPT,NFO
30302,13327874,52062,BANKNIFTY21OCT33800CE,BANKNIFTY,0,28-10-2021,33800,0.05,25,CE,NFO-OPT,NFO
30303,13328642,52065,BANKNIFTY21OCT33800PE,BANKNIFTY,0,28-10-2021,33800,0.05,25,PE,NFO-OPT,NFO
30304,13328898,52066,BANKNIFTY21OCT33900CE,BANKNIFTY,0,28-10-2021,33900,0.05,25,CE,NFO-OPT,NFO
30305,13329410,52068,BANKNIFTY21OCT33900PE,BANKNIFTY,0,28-10-2021,33900,0.05,25,PE,NFO-OPT,NFO
