symbol,threshold,pip,months_req
HDFCBANK,0.15,20,3
ICICIBANK,0.15,10,3
SBIN,0.2,5,3
BAJFINANCE,0.2,100,3
INFY,0.2,20,3
TCS,0.2,20,3
RELIANCE,0.2,20,3
TATASTEEL,0.2,20,3
BHARTIARTL,0.2,5,3
TATAMOTORS,0.2,5,3
LT,0.15,20,3
ITC,0.15,5,3
TITAN,0.2,20,3
SUNPHARMA,0.2,10,3
HDFC,0.15,50,1
AXISBANK,0.15,10,1
INDUSINDBK,0.15,20,1
KOTAKBANK,0.15,20,1
HCLTECH,0.15,10,1
WIPRO,0.15,10,1
ONGC,0.15,2.5,1
BPCL,0.15,5,1
NTPC,0.15,1,1
POWERGRID,0.15,2.5,1
COALINDIA,0.15,2.5,1
JSWSTEEL,0.15,10,1
MARUTI,0.15,100,1
M&M,0.15,10,1
HINDUNILVR,0.15,20,1
MCDOWELL-N,0.15,10,1
BANKBARODA,0.15,1,1
FEDERALBNK,0.15,1,1
