,Unnamed: 0,instrument_token,name,tradingsymbol,strike,expiry,instrument_type
0,15285,338947,EURINR,EURINR21D03FUT,0,03-12-2021,FUT
1,15286,631811,EURINR,EURINR21D10FUT,0,10-12-2021,FUT
2,15287,345859,EURINR,EURINR21D17FUT,0,17-12-2021,FUT
3,15288,260355,EURINR,EURINR21D24FUT,0,24-12-2021,FUT
4,15289,1156355,EURINR,EURINR21D31FUT,0,31-12-2021,FUT
5,15290,267011,EURINR,EURINR21DECFUT,0,29-12-2021,FUT
6,15291,800259,EURINR,EURINR21NOVFUT,0,26-11-2021,FUT
7,15292,1837571,EURINR,EURINR22107FUT,0,07-01-2022,FUT
8,15293,1833219,EURINR,EURINR22114FUT,0,14-01-2022,FUT
9,15294,299267,EURINR,EURINR22121FUT,0,21-01-2022,FUT
10,15295,511747,EURINR,EURINR22128FUT,0,28-01-2022,FUT
11,15296,2492675,EURINR,EURINR22204FUT,0,04-02-2022,FUT
12,15297,2678019,EURINR,EURINR22211FUT,0,11-02-2022,FUT
13,15298,288771,EURINR,EURINR22APRFUT,0,27-04-2022,FUT
14,15299,272899,EURINR,EURINR22AUGFUT,0,29-08-2022,FUT
15,15300,2612483,EURINR,EURINR22FEBFUT,0,24-02-2022,FUT
16,15301,275715,EURINR,EURINR22JANFUT,0,27-01-2022,FUT
17,15302,350723,EURINR,EURINR22JULFUT,0,27-07-2022,FUT
18,15303,262403,EURINR,EURINR22JUNFUT,0,28-06-2022,FUT
19,15304,451075,EURINR,EURINR22MARFUT,0,29-03-2022,FUT
20,15305,291843,EURINR,EURINR22MAYFUT,0,27-05-2022,FUT
21,15306,278019,EURINR,EURINR22OCTFUT,0,27-10-2022,FUT
22,15307,260611,EURINR,EURINR22SEPFUT,0,28-09-2022,FUT
23,15308,339203,GBPINR,GBPINR21D03FUT,0,03-12-2021,FUT
24,15309,632067,GBPINR,GBPINR21D10FUT,0,10-12-2021,FUT
